12,17296CT26874812,pruebadehoy,luisdehoy,RUT:123456789,0,1637,prueba,luis 888,RUT:090909090909,30404537|02066300001,30404537|02066300001,30404537|02066300001,30404537|02066300001,30404537|0,30404537|0,30404537|1,30404537|1,30404537|1,30404537|0,30404537|0,30404537|0,,,,,30404537|0,22072020
16,17296CT26874812,0,1637,EL Perro,EL Perro,EL Perro,EL Perro,Juan 888,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,08072020
17,17296CT26874812,0,EL Maragato,EL Maragato,EL Maragato,1637,EL Maragato,Juan 88831,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
18,17296CT26874812,EL Pajaro,Miguel 9090,3,0,01637,EL Pajaro,Miguel 9090,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
19,17296CT26874812,0,1637,EL Rochense,Pedro 8890,RUT:0302116500,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
22,17296CT26874812,EL Rochense,EL Rochense,EL Rochense,0,1637,EL Rochense,Pedro 8890,RUT:0302116500,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
23,17296CT26874812,EL Rochense,EL Rochense,EL Rochense,0,1637,EL Rochense,Pedro 8890,RUT:0302116500,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
24,17296CT26874812,EL Pajaro,Miguel 9090,3,0,01637,EL Pajaro,Miguel 9090,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
25,17296CT26874812,0,EL Maragato,EL Maragato,EL Maragato,1637,EL Maragato,Juan 88831,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
26,17296CT26874812,0,1637,EL Perro,EL Perro,EL Perro,EL Perro,Juan 888,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,08072020
28,17296CT26874812,EL Rochense,EL Rochense,EL Rochense,0,1637,EL Rochense,Pedro 8890,RUT:0302116500,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
29,17296CT26874812,EL Pajaro,Miguel 9090,3,0,01637,EL Pajaro,Miguel 9090,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
30,17296CT26874812,0,EL Maragato,EL Maragato,EL Maragato,1637,EL Maragato,Juan 88831,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,18072020
3040412,17296CT26874812,stadium,juan 123,rut: 9292929292,0,1637,EL Rochense,Pedro 8890,RUT: 030211650015,30404537|02066300001,30404537|20825629,30404537|99999999,30404537|44399,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,30404537|0,,,,,30404537|0,23072020
